,pred_cat1,pred_cat2,pred_cat3,pred_cat4,pred_cat5
true_cat1,11,2,1,0,0
true_cat2,1,1,1,0,0
true_cat3,0,0,2,0,0
true_cat4,1,0,1,3,1
true_cat5,0,0,0,1,7
