,pred_cat1,pred_cat2,pred_cat3,pred_cat4,pred_cat5
true_cat1,20,3,2,1,0
true_cat2,5,1,2,0,0
true_cat3,1,2,1,0,0
true_cat4,0,0,0,14,2
true_cat5,0,0,0,0,14
