,pred_cat1,pred_cat2,pred_cat3,pred_cat4,pred_cat5
true_cat1,4,0,0,0,0
true_cat2,0,0,0,0,0
true_cat3,12,0,2,4,0
true_cat4,0,0,0,2,4
true_cat5,0,0,0,1,7
