,pred_cat1,pred_cat2,pred_cat3,pred_cat4,pred_cat5
true_cat1,22,2,0,0,0
true_cat2,4,0,0,0,0
true_cat3,2,3,1,0,0
true_cat4,0,2,0,2,0
true_cat5,0,0,0,0,10
